observation_date,CRUDEOIL
2014-12-31,55.27
2014-12-30,55.6
2014-12-29,57.86
2014-12-26,58.72
2014-12-24,58.67
2014-12-23,59.07
2014-12-22,58.31
2014-12-19,58.87
2014-12-18,58.81
2014-12-17,59.84
2014-12-16,60.26
2014-12-15,61.09
2014-12-12,61.67
2014-12-11,63.65
2014-12-10,63.32
2014-12-09,66.11
2014-12-08,65.64
2014-12-05,68
2014-12-04,68.48
2014-12-03,70.13
2014-12-02,71.13
2014-12-01,70.87
2014-11-28,71.89
2014-11-26,77.39
2014-11-25,77.62
2014-11-24,79.62
2014-11-21,79.2
2014-11-20,77.61
2014-11-19,77.21
2014-11-18,77.23
2014-11-17,76.86
2014-11-14,77.51
2014-11-13,77.74
2014-11-12,80.42
2014-11-11,80.94
2014-11-10,82.9
2014-11-07,83.2
2014-11-06,82.08
2014-11-05,82.88
2014-11-04,82.12
2014-11-03,84.9
2014-10-31,84.17
2014-10-30,85.5
2014-10-29,86.91
2014-10-28,85.57
2014-10-27,85.64
2014-10-24,86
2014-10-23,85.94
2014-10-22,86.38
2014-10-21,85.17
2014-10-20,84.42
2014-10-17,85.27
2014-10-16,84.02
2014-10-15,84.02
2014-10-14,86.36
2014-10-13,87.82
2014-10-10,88.66
2014-10-09,90.47
2014-10-08,90.25
2014-10-07,90.9
2014-10-06,90.65
2014-10-03,90.8
2014-10-02,91.29
2014-10-01,94.57
2014-09-30,94.67
2014-09-29,95.7
2014-09-26,95.08
2014-09-25,95.2
2014-09-24,94.53
2014-09-23,94.87
2014-09-22,95.37
2014-09-19,96.75
2014-09-18,96.82
2014-09-17,97.7
2014-09-16,97.39
2014-09-15,96.43
2014-09-12,96.31
2014-09-11,96.42
2014-09-10,96.26
2014-09-09,98.08
2014-09-08,99.53
2014-09-05,99.51
2014-09-04,101.21
2014-09-03,100.88
2014-09-02,100.21
2014-08-29,101.12
2014-08-28,100.71
2014-08-27,100.4
2014-08-26,100.5
2014-08-25,100.49
2014-08-22,100.09
2014-08-21,100.28
2014-08-20,99.92
2014-08-19,99.74
2014-08-18,99.37
2014-08-15,101.13
2014-08-14,101.15
2014-08-13,102.27
2014-08-12,101.68
2014-08-11,103.47
2014-08-08,103.36
2014-08-07,104.02
2014-08-06,104.17
2014-08-05,102.82
2014-08-04,103.63
2014-08-01,103.45
2014-07-31,104.94
2014-07-30,106.47
2014-07-29,106.98
2014-07-28,106.7
2014-07-25,106.89
2014-07-24,105.78
2014-07-23,106.85
2014-07-22,106.48
2014-07-21,105.71
2014-07-18,106.03
2014-07-17,106.04
2014-07-16,105.41
2014-07-15,104.73
2014-07-14,104.73
2014-07-11,105.77
2014-07-10,106.2
2014-07-09,106.84
2014-07-08,107.65
2014-07-07,108.7
2014-07-03,108.98
